city,timestamp,temperature,season
New York,2010-01-01,-6.668315571873359,winter
New York,2010-01-02,3.007173810058558,winter
New York,2010-01-03,3.8593729861375103,winter
New York,2010-01-04,-6.950286077623431,winter
New York,2010-01-05,-1.3505851539691776,winter
New York,2010-01-06,2.8376857665395177,winter
New York,2010-01-07,-1.3502461268140387,winter
New York,2010-01-08,2.406348758128737,winter
New York,2010-01-09,-4.850673703121892,winter
New York,2010-01-10,3.7712823178179966,winter
New York,2010-01-11,-0.7768923611614713,winter
New York,2010-01-12,0.9592286949431195,winter
New York,2010-01-13,8.080293091286519,winter
New York,2010-01-14,6.980270339647424,winter
New York,2010-01-15,-1.9525999098788114,winter
New York,2010-01-16,-9.26642970615688,winter
New York,2010-01-17,-1.3548053867405383,winter
New York,2010-01-18,5.606403623010122,winter
New York,2010-01-19,-1.2300903262641412,winter
New York,2010-01-20,3.7468501130736565,winter
New York,2010-01-21,5.231916390290893,winter
New York,2010-01-22,2.010937812605338,winter
New York,2010-01-23,13.04553930475018,winter
New York,2010-01-24,3.6056434932003736,winter
New York,2010-01-25,2.354763328390748,winter
New York,2010-01-26,-2.5404159724947024,winter
New York,2010-01-27,-7.16658543915493,winter
New York,2010-01-28,0.13086715510709138,winter
New York,2010-01-29,1.2468953597003947,winter
New York,2010-01-30,-3.3517777272948472,winter
New York,2010-01-31,-2.3329308016011656,winter
New York,2010-02-01,-5.107126904089369,winter
New York,2010-02-02,5.437255860021207,winter
New York,2010-02-03,-5.904646920083374,winter
New York,2010-02-04,3.0404336103896643,winter
New York,2010-02-05,-5.539000047934845,winter
New York,2010-02-06,5.129954065082469,winter
New York,2010-02-07,-8.88377596068605,winter
New York,2010-02-08,-7.099893417091868,winter
New York,2010-02-09,-5.317928404503772,winter
New York,2010-02-10,-5.983896527598411,winter
New York,2010-02-11,-0.07838103904402147,winter
New York,2010-02-12,3.8093981001258164,winter
New York,2010-02-13,-0.23533062953064493,winter
New York,2010-02-14,0.8881501423693128,winter
New York,2010-02-15,-2.7472419935776635,winter
New York,2010-02-16,-6.242720644175917,winter
New York,2010-02-17,4.426714848221363,winter
New York,2010-02-18,8.958608044327764,winter
New York,2010-02-19,-7.4992611314107105,winter
New York,2010-02-20,-1.6143567373143621,winter
New York,2010-02-21,-2.6391109910412918,winter
New York,2010-02-22,-2.8232194261150987,winter
New York,2010-02-23,-1.4402502764281901,winter
New York,2010-02-24,-1.2151018341176283,winter
New York,2010-02-25,0.16840403842199478,winter
New York,2010-02-26,5.179914107697725,winter
New York,2010-02-27,10.650590743866154,winter
New York,2010-02-28,-6.703329643066316,winter
